id,regionId,provinceId,cityId,barangayId
cmpw9v3cr016f1qvruuzutp7p,cmpet3q2y004s1qauok9asvtu,cmpet3q32004u1qau8f7tqzeb,cmpet3q3j00541qaug4vyord7,cmpet3q3q00581qauj2tea0an
cmq66frql01a11qwapg7yxc5w,cmpet3q2y004s1qauok9asvtu,cmpet3q3a00501qau9bq5lhr4,cmpet3qnr00i01qaug2j25tfb,
